City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
122,San Luis,AR,-33.3,-66.34,44.76,58,100,5.91,overcast clouds,0.0,0.0
123,Edson,CA,53.58,-116.44,55.4,62,75,6.93,broken clouds,0.0,0.0
124,Svetlyy,RU,54.67,20.13,60.8,93,75,4.47,mist,0.0,0.0
125,Isangel,VU,-19.55,169.27,78.8,65,20,9.17,few clouds,0.0,0.0
126,Ouadda,CF,8.08,22.4,66.6,91,100,2.73,overcast clouds,0.0,0.0
127,Porto Novo,BJ,6.5,2.6,80.6,83,40,16.11,scattered clouds,0.0,0.0
128,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,90,18.34,overcast clouds,0.0,0.0
129,Cherskiy,RU,68.75,161.3,46.31,56,1,16.24,clear sky,0.0,0.0
130,Ponta Do Sol,PT,32.67,-17.1,71.6,73,20,12.75,few clouds,0.0,0.0
131,Coquimbo,CL,-29.95,-71.34,55.4,87,100,5.82,overcast clouds,0.0,0.0
132,Nishihara,JP,26.18,127.76,86.0,83,75,19.46,broken clouds,0.0,0.0
133,Jamestown,US,42.1,-79.24,73.0,78,1,12.75,clear sky,0.0,0.0
134,Severo-Kurilsk,RU,50.68,156.12,54.99,57,93,9.4,overcast clouds,0.0,0.0
135,Atambua,ID,-9.11,124.89,79.75,57,23,3.87,few clouds,0.0,0.0
136,Aripuana,BR,-9.17,-60.63,75.94,64,10,1.16,clear sky,0.0,0.0
137,Yellowknife,CA,62.46,-114.35,69.8,43,75,10.29,broken clouds,0.0,0.0
138,Noumea,NC,-22.28,166.46,73.4,56,75,18.34,broken clouds,0.0,0.0
139,Tambun,ID,-6.26,107.07,86.0,83,40,3.36,haze,0.0,0.0
140,Hualmay,PE,-11.1,-77.61,61.75,86,83,8.5,broken clouds,0.0,0.0
141,Carnarvon,AU,-24.87,113.63,62.6,100,75,6.93,broken clouds,0.0,0.0
142,Guerrero Negro,MX,27.98,-114.06,71.73,68,0,15.57,clear sky,0.0,0.0
143,Soyo,AO,-6.13,12.37,70.57,82,0,6.46,clear sky,0.0,0.0
144,Esperance,AU,-33.87,121.9,59.0,51,40,13.87,scattered clouds,0.0,0.0
145,Puerto Cabezas,NI,14.04,-83.39,78.44,91,100,7.09,light rain,0.71,0.0
146,Broken Hill,AU,-31.95,141.43,50.0,53,0,11.41,clear sky,0.0,0.0
147,Victoria,HK,22.29,114.16,88.0,70,40,5.99,scattered clouds,0.0,0.0
148,Bathsheba,BB,13.22,-59.52,82.4,78,40,18.34,scattered clouds,0.0,0.0
149,Chuy,UY,-33.7,-53.46,44.71,82,0,3.91,clear sky,0.0,0.0
150,Geraldton,AU,-28.77,114.6,64.4,82,75,11.41,broken clouds,0.0,0.0
151,Vardo,NO,70.37,31.11,44.56,85,100,15.1,overcast clouds,0.0,0.0
152,Udachnyy,RU,66.42,112.4,71.6,53,46,2.24,scattered clouds,0.0,0.0
153,Ocumare Del Tuy,VE,10.12,-66.78,73.17,88,4,2.3,clear sky,0.0,0.0
154,Pacific Grove,US,36.62,-121.92,62.6,77,90,10.29,overcast clouds,0.0,0.0
155,Guantanamo,CU,20.14,-75.21,87.8,62,75,8.05,broken clouds,0.0,0.0
156,Roebourne,AU,-20.78,117.13,73.24,21,0,12.66,clear sky,0.0,0.0
157,Srednekolymsk,RU,67.45,153.68,56.43,34,100,9.8,overcast clouds,0.0,0.0
158,Husavik,IS,66.04,-17.34,46.4,93,90,1.28,mist,0.0,0.0
159,Belyy Yar,RU,53.6,91.39,66.2,82,83,2.24,broken clouds,0.0,0.0
160,Xinqing,CN,48.23,129.5,62.71,93,100,1.97,light rain,0.73,0.0
161,Puerto Ayora,EC,-0.74,-90.35,71.01,91,32,5.01,scattered clouds,0.0,0.0
162,Saint-Philippe,RE,-21.36,55.77,68.0,77,54,4.7,light rain,0.12,0.0
163,Porangatu,BR,-13.44,-49.15,72.07,63,0,3.22,clear sky,0.0,0.0
